,Geographic identifier code,Id2,Geographic area name,2007 NAICS code,Meaning of 2007 NAICS code,Year,Number of establishments,Employment,"First-quarter payroll ($1,000)","Annual payroll ($1,000)",,rate
1584,0500000US23009,23009,"Hancock County, Maine",0,Total for all sectors,2015,2225,16774,142520,678499,,0.010603687
1731,0500000US23011,23011,"Kennebec County, Maine",0,Total for all sectors,2010,3323,43645,343671,1474986,,1.601943484
1626,0500000US23011,23011,"Kennebec County, Maine",0,Total for all sectors,2011,3242,43377,364011,1530267,,-0.006140451
1647,0500000US23011,23011,"Kennebec County, Maine",0,Total for all sectors,2012,3239,43827,382636,1596402,,0.010374161
1668,0500000US23011,23011,"Kennebec County, Maine",0,Total for all sectors,2013,3219,45311,392566,1625713,,0.033860406
1689,0500000US23011,23011,"Kennebec County, Maine",0,Total for all sectors,2014,3218,45581,402895,1698359,,0.005958818
1710,0500000US23011,23011,"Kennebec County, Maine",0,Total for all sectors,2015,3203,45976,402170,1729544,,0.008665891
1852,0500000US23013,23013,"Knox County, Maine",0,Total for all sectors,2010,1719,13737,95323,436720,,-0.701213677
1752,0500000US23013,23013,"Knox County, Maine",0,Total for all sectors,2011,1681,13229,97108,441609,,-0.036980418
1772,0500000US23013,23013,"Knox County, Maine",0,Total for all sectors,2012,1688,13508,108902,463804,,0.021090029
1792,0500000US23013,23013,"Knox County, Maine",0,Total for all sectors,2013,1701,13515,104254,468804,,0.000518211
1812,0500000US23013,23013,"Knox County, Maine",0,Total for all sectors,2014,1715,14166,111057,496853,,0.048168701
1832,0500000US23013,23013,"Knox County, Maine",0,Total for all sectors,2015,1734,14160,115291,522548,,-0.000423549
1976,0500000US23015,23015,"Lincoln County, Maine",0,Total for all sectors,2010,1409,8491,57619,272858,,-0.400353107
1871,0500000US23015,23015,"Lincoln County, Maine",0,Total for all sectors,2011,1393,8317,61188,277055,,-0.020492286
1892,0500000US23015,23015,"Lincoln County, Maine",0,Total for all sectors,2012,1372,8444,60066,275017,,0.015269929
1913,0500000US23015,23015,"Lincoln County, Maine",0,Total for all sectors,2013,1394,8512,61993,284579,,0.008053055
1934,0500000US23015,23015,"Lincoln County, Maine",0,Total for all sectors,2014,1395,8374,64829,292867,,-0.016212406
1955,0500000US23015,23015,"Lincoln County, Maine",0,Total for all sectors,2015,1374,8272,64870,304546,,-0.012180559
2102,0500000US23017,23017,"Oxford County, Maine",0,Total for all sectors,2010,1335,14041,99705,436426,,0.697412959
1997,0500000US23017,23017,"Oxford County, Maine",0,Total for all sectors,2011,1288,14061,106092,450183,,0.0014244
2018,0500000US23017,23017,"Oxford County, Maine",0,Total for all sectors,2012,1281,13817,107034,468237,,-0.017352962
2039,0500000US23017,23017,"Oxford County, Maine",0,Total for all sectors,2013,1287,14320,113731,459384,,0.036404429
2060,0500000US23017,23017,"Oxford County, Maine",0,Total for all sectors,2014,1286,14225,113388,473898,,-0.006634078
2081,0500000US23017,23017,"Oxford County, Maine",0,Total for all sectors,2015,1306,14138,114978,474153,,-0.006115993
2227,0500000US23019,23019,"Penobscot County, Maine",0,Total for all sectors,2010,4193,57599,453559,1961758,,3.074055736
2123,0500000US23019,23019,"Penobscot County, Maine",0,Total for all sectors,2011,4127,57082,456240,1948316,,-0.00897585
2144,0500000US23019,23019,"Penobscot County, Maine",0,Total for all sectors,2012,4090,57893,484563,2000535,,0.014207631
2164,0500000US23019,23019,"Penobscot County, Maine",0,Total for all sectors,2013,4104,57343,488746,2011529,,-0.009500285
2185,0500000US23019,23019,"Penobscot County, Maine",0,Total for all sectors,2014,4138,57535,486691,2024754,,0.003348273
2206,0500000US23019,23019,"Penobscot County, Maine",0,Total for all sectors,2015,4109,57350,503992,2159668,,-0.003215434
2346,0500000US23021,23021,"Piscataquis County, Maine",0,Total for all sectors,2010,435,4435,27473,122375,,-0.922667829
2248,0500000US23021,23021,"Piscataquis County, Maine",0,Total for all sectors,2011,436,4445,29326,126584,,0.002254791
2267,0500000US23021,23021,"Piscataquis County, Maine",0,Total for all sectors,2012,437,4609,33043,136844,,0.036895388
2286,0500000US23021,23021,"Piscataquis County, Maine",0,Total for all sectors,2013,439,4304,32016,133261,,-0.066174875
2306,0500000US23021,23021,"Piscataquis County, Maine",0,Total for all sectors,2014,436,4543,34013,145052,,0.05552974
2326,0500000US23021,23021,"Piscataquis County, Maine",0,Total for all sectors,2015,438,4575,34556,146547,,0.007043804
2464,0500000US23023,23023,"Sagadahoc County, Maine",0,Total for all sectors,2010,949,13362,138172,558661,,1.920655738
2366,0500000US23023,23023,"Sagadahoc County, Maine",0,Total for all sectors,2011,889,13007,140712,556640,,-0.026567879
2386,0500000US23023,23023,"Sagadahoc County, Maine",0,Total for all sectors,2012,924,13026,145390,563470,,0.001460752
2405,0500000US23023,23023,"Sagadahoc County, Maine",0,Total for all sectors,2013,903,12658,142139,578501,,-0.02825119
2425,0500000US23023,23023,"Sagadahoc County, Maine",0,Total for all sectors,2014,923,13169,147600,616065,,0.040369727
2445,0500000US23023,23023,"Sagadahoc County, Maine",0,Total for all sectors,2015,912,13596,148178,641770,,0.032424634
2583,0500000US23025,23025,"Somerset County, Maine",0,Total for all sectors,2010,1167,13563,108368,479626,,-0.002427184
2484,0500000US23025,23025,"Somerset County, Maine",0,Total for all sectors,2011,1158,13511,112798,484082,,-0.00383396
2504,0500000US23025,23025,"Somerset County, Maine",0,Total for all sectors,2012,1168,13480,118610,502538,,-0.002294427
2523,0500000US23025,23025,"Somerset County, Maine",0,Total for all sectors,2013,1172,13570,119018,506977,,0.006676558
2543,0500000US23025,23025,"Somerset County, Maine",0,Total for all sectors,2014,1173,13870,127999,542676,,0.02210759
2563,0500000US23025,23025,"Somerset County, Maine",0,Total for all sectors,2015,1164,13549,124795,519479,,-0.023143475
2706,0500000US23027,23027,"Waldo County, Maine",0,Total for all sectors,2010,972,8451,62664,269351,,-0.376263931
2603,0500000US23027,23027,"Waldo County, Maine",0,Total for all sectors,2011,966,8393,66174,277321,,-0.006863093
2624,0500000US23027,23027,"Waldo County, Maine",0,Total for all sectors,2012,957,8480,68903,281413,,0.010365781
2644,0500000US23027,23027,"Waldo County, Maine",0,Total for all sectors,2013,956,8423,70171,289210,,-0.006721698
2664,0500000US23027,23027,"Waldo County, Maine",0,Total for all sectors,2014,967,8644,70967,300371,,0.026237683
2685,0500000US23027,23027,"Waldo County, Maine",0,Total for all sectors,2015,981,8662,71198,311054,,0.002082369
2831,0500000US23029,23029,"Washington County, Maine",0,Total for all sectors,2010,862,6919,48936,212455,,-0.201223736
2727,0500000US23029,23029,"Washington County, Maine",0,Total for all sectors,2011,853,7189,51952,219532,,0.03902298
2748,0500000US23029,23029,"Washington County, Maine",0,Total for all sectors,2012,840,7327,54623,225684,,0.019195994
2768,0500000US23029,23029,"Washington County, Maine",0,Total for all sectors,2013,836,7039,52175,227489,,-0.039306674
2789,0500000US23029,23029,"Washington County, Maine",0,Total for all sectors,2014,828,7000,53599,231635,,-0.00554056
2810,0500000US23029,23029,"Washington County, Maine",0,Total for all sectors,2015,839,6763,54555,241800,,-0.033857143
2957,0500000US23031,23031,"York County, Maine",0,Total for all sectors,2010,5482,50480,361297,1667802,,6.464143132
2852,0500000US23031,23031,"York County, Maine",0,Total for all sectors,2011,5430,50506,380469,1719456,,0.000515055
2873,0500000US23031,23031,"York County, Maine",0,Total for all sectors,2012,5430,51477,405994,1781219,,0.019225439
2894,0500000US23031,23031,"York County, Maine",0,Total for all sectors,2013,5440,50703,417578,1832391,,-0.015035841
2915,0500000US23031,23031,"York County, Maine",0,Total for all sectors,2014,5500,51699,436340,1939717,,0.019643808
2936,0500000US23031,23031,"York County, Maine",0,Total for all sectors,2015,5537,52357,447771,2022026,,0.012727519
3083,0500000US25001,25001,"Barnstable County, Massachusetts",0,Total for all sectors,2010,8214,68819,560148,2697356,,0.31441832
2978,0500000US25001,25001,"Barnstable County, Massachusetts",0,Total for all sectors,2011,8116,68452,580017,2766165,,-0.00533283
2999,0500000US25001,25001,"Barnstable County, Massachusetts",0,Total for all sectors,2012,8262,69710,633265,2896388,,0.018377841
3020,0500000US25001,25001,"Barnstable County, Massachusetts",0,Total for all sectors,2013,8323,71779,655679,3003417,,0.029680103
3041,0500000US25001,25001,"Barnstable County, Massachusetts",0,Total for all sectors,2014,8390,72254,673166,3134226,,0.006617534
3062,0500000US25001,25001,"Barnstable County, Massachusetts",0,Total for all sectors,2015,8488,74140,687463,3292880,,0.026102361
3209,0500000US25003,25003,"Berkshire County, Massachusetts",0,Total for all sectors,2010,4029,53706,456682,2016427,,-0.275613704
3104,0500000US25003,25003,"Berkshire County, Massachusetts",0,Total for all sectors,2011,3985,53110,500427,2085362,,-0.011097457
3125,0500000US25003,25003,"Berkshire County, Massachusetts",0,Total for all sectors,2012,3992,53712,525144,2119530,,0.011334965
3146,0500000US25003,25003,"Berkshire County, Massachusetts",0,Total for all sectors,2013,3928,53041,521308,2135452,,-0.012492553
3167,0500000US25003,25003,"Berkshire County, Massachusetts",0,Total for all sectors,2014,3900,52802,534873,2191668,,-0.004505948
3188,0500000US25003,25003,"Berkshire County, Massachusetts",0,Total for all sectors,2015,3868,53467,538568,2290710,,0.01259422
3335,0500000US25005,25005,"Bristol County, Massachusetts",0,Total for all sectors,2010,12804,192766,1769263,7685785,,2.60532665
3230,0500000US25005,25005,"Bristol County, Massachusetts",0,Total for all sectors,2011,12637,192687,1796299,7727245,,-0.000409823
3251,0500000US25005,25005,"Bristol County, Massachusetts",0,Total for all sectors,2012,12679,196479,1911516,8098177,,0.019679584
3272,0500000US25005,25005,"Bristol County, Massachusetts",0,Total for all sectors,2013,12730,193082,1862950,7914184,,-0.01728938
3293,0500000US25005,25005,"Bristol County, Massachusetts",0,Total for all sectors,2014,12703,192140,1953805,8240643,,-0.004878756
3314,0500000US25005,25005,"Bristol County, Massachusetts",0,Total for all sectors,2015,12686,195213,2019269,8521939,,0.015993546
3456,0500000US25007,25007,"Dukes County, Massachusetts",0,Total for all sectors,2010,1007,4827,44701,242551,,-0.975273163
3356,0500000US25007,25007,"Dukes County, Massachusetts",0,Total for all sectors,2011,1019,4935,45691,247086,,0.022374145
3376,0500000US25007,25007,"Dukes County, Massachusetts",0,Total for all sectors,2012,1033,5271,50054,262571,,0.068085106
3396,0500000US25007,25007,"Dukes County, Massachusetts",0,Total for all sectors,2013,1036,5322,51432,276598,,0.009675583
3416,0500000US25007,25007,"Dukes County, Massachusetts",0,Total for all sectors,2014,1062,5239,53890,288767,,-0.015595641
