,Geographic identifier code,Id2,Geographic area name,2007 NAICS code,Meaning of 2007 NAICS code,Year,Number of establishments,Employment,"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
2185,0500000US23019,23019,"Penobscot County, Maine",0,Total for all sectors,2014,4138,57535,486691,2024754
2206,0500000US23019,23019,"Penobscot County, Maine",0,Total for all sectors,2015,4109,57350,503992,2159668
2227,0500000US23019,23019,"Penobscot County, Maine",0,Total for all sectors,2010,4193,57599,453559,1961758
2248,0500000US23021,23021,"Piscataquis County, Maine",0,Total for all sectors,2011,436,4445,29326,126584
2267,0500000US23021,23021,"Piscataquis County, Maine",0,Total for all sectors,2012,437,4609,33043,136844
2286,0500000US23021,23021,"Piscataquis County, Maine",0,Total for all sectors,2013,439,4304,32016,133261
2306,0500000US23021,23021,"Piscataquis County, Maine",0,Total for all sectors,2014,436,4543,34013,145052
2326,0500000US23021,23021,"Piscataquis County, Maine",0,Total for all sectors,2015,438,4575,34556,146547
2346,0500000US23021,23021,"Piscataquis County, Maine",0,Total for all sectors,2010,435,4435,27473,122375
2366,0500000US23023,23023,"Sagadahoc County, Maine",0,Total for all sectors,2011,889,13007,140712,556640
2386,0500000US23023,23023,"Sagadahoc County, Maine",0,Total for all sectors,2012,924,13026,145390,563470
2405,0500000US23023,23023,"Sagadahoc County, Maine",0,Total for all sectors,2013,903,12658,142139,578501
2425,0500000US23023,23023,"Sagadahoc County, Maine",0,Total for all sectors,2014,923,13169,147600,616065
2445,0500000US23023,23023,"Sagadahoc County, Maine",0,Total for all sectors,2015,912,13596,148178,641770
2464,0500000US23023,23023,"Sagadahoc County, Maine",0,Total for all sectors,2010,949,13362,138172,558661
2484,0500000US23025,23025,"Somerset County, Maine",0,Total for all sectors,2011,1158,13511,112798,484082
2504,0500000US23025,23025,"Somerset County, Maine",0,Total for all sectors,2012,1168,13480,118610,502538
2523,0500000US23025,23025,"Somerset County, Maine",0,Total for all sectors,2013,1172,13570,119018,506977
2543,0500000US23025,23025,"Somerset County, Maine",0,Total for all sectors,2014,1173,13870,127999,542676
2563,0500000US23025,23025,"Somerset County, Maine",0,Total for all sectors,2015,1164,13549,124795,519479
2583,0500000US23025,23025,"Somerset County, Maine",0,Total for all sectors,2010,1167,13563,108368,479626
2603,0500000US23027,23027,"Waldo County, Maine",0,Total for all sectors,2011,966,8393,66174,277321
2624,0500000US23027,23027,"Waldo County, Maine",0,Total for all sectors,2012,957,8480,68903,281413
2644,0500000US23027,23027,"Waldo County, Maine",0,Total for all sectors,2013,956,8423,70171,289210
2664,0500000US23027,23027,"Waldo County, Maine",0,Total for all sectors,2014,967,8644,70967,300371
2685,0500000US23027,23027,"Waldo County, Maine",0,Total for all sectors,2015,981,8662,71198,311054
2706,0500000US23027,23027,"Waldo County, Maine",0,Total for all sectors,2010,972,8451,62664,269351
2727,0500000US23029,23029,"Washington County, Maine",0,Total for all sectors,2011,853,7189,51952,219532
2748,0500000US23029,23029,"Washington County, Maine",0,Total for all sectors,2012,840,7327,54623,225684
2768,0500000US23029,23029,"Washington County, Maine",0,Total for all sectors,2013,836,7039,52175,227489
2789,0500000US23029,23029,"Washington County, Maine",0,Total for all sectors,2014,828,7000,53599,231635
2810,0500000US23029,23029,"Washington County, Maine",0,Total for all sectors,2015,839,6763,54555,241800
2831,0500000US23029,23029,"Washington County, Maine",0,Total for all sectors,2010,862,6919,48936,212455
2852,0500000US23031,23031,"York County, Maine",0,Total for all sectors,2011,5430,50506,380469,1719456
2873,0500000US23031,23031,"York County, Maine",0,Total for all sectors,2012,5430,51477,405994,1781219
2894,0500000US23031,23031,"York County, Maine",0,Total for all sectors,2013,5440,50703,417578,1832391
2915,0500000US23031,23031,"York County, Maine",0,Total for all sectors,2014,5500,51699,436340,1939717
2936,0500000US23031,23031,"York County, Maine",0,Total for all sectors,2015,5537,52357,447771,2022026
2957,0500000US23031,23031,"York County, Maine",0,Total for all sectors,2010,5482,50480,361297,1667802
2978,0500000US25001,25001,"Barnstable County, Massachusetts",0,Total for all sectors,2011,8116,68452,580017,2766165
2999,0500000US25001,25001,"Barnstable County, Massachusetts",0,Total for all sectors,2012,8262,69710,633265,2896388
3020,0500000US25001,25001,"Barnstable County, Massachusetts",0,Total for all sectors,2013,8323,71779,655679,3003417
3041,0500000US25001,25001,"Barnstable County, Massachusetts",0,Total for all sectors,2014,8390,72254,673166,3134226
3062,0500000US25001,25001,"Barnstable County, Massachusetts",0,Total for all sectors,2015,8488,74140,687463,3292880
3083,0500000US25001,25001,"Barnstable County, Massachusetts",0,Total for all sectors,2010,8214,68819,560148,2697356
3104,0500000US25003,25003,"Berkshire County, Massachusetts",0,Total for all sectors,2011,3985,53110,500427,2085362
3125,0500000US25003,25003,"Berkshire County, Massachusetts",0,Total for all sectors,2012,3992,53712,525144,2119530
3146,0500000US25003,25003,"Berkshire County, Massachusetts",0,Total for all sectors,2013,3928,53041,521308,2135452
3167,0500000US25003,25003,"Berkshire County, Massachusetts",0,Total for all sectors,2014,3900,52802,534873,2191668
3188,0500000US25003,25003,"Berkshire County, Massachusetts",0,Total for all sectors,2015,3868,53467,538568,2290710
3209,0500000US25003,25003,"Berkshire County, Massachusetts",0,Total for all sectors,2010,4029,53706,456682,2016427
3230,0500000US25005,25005,"Bristol County, Massachusetts",0,Total for all sectors,2011,12637,192687,1796299,7727245
3251,0500000US25005,25005,"Bristol County, Massachusetts",0,Total for all sectors,2012,12679,196479,1911516,8098177
3272,0500000US25005,25005,"Bristol County, Massachusetts",0,Total for all sectors,2013,12730,193082,1862950,7914184
3293,0500000US25005,25005,"Bristol County, Massachusetts",0,Total for all sectors,2014,12703,192140,1953805,8240643
3314,0500000US25005,25005,"Bristol County, Massachusetts",0,Total for all sectors,2015,12686,195213,2019269,8521939
3335,0500000US25005,25005,"Bristol County, Massachusetts",0,Total for all sectors,2010,12804,192766,1769263,7685785
3356,0500000US25007,25007,"Dukes County, Massachusetts",0,Total for all sectors,2011,1019,4935,45691,247086
3376,0500000US25007,25007,"Dukes County, Massachusetts",0,Total for all sectors,2012,1033,5271,50054,262571
3396,0500000US25007,25007,"Dukes County, Massachusetts",0,Total for all sectors,2013,1036,5322,51432,276598
3416,0500000US25007,25007,"Dukes County, Massachusetts",0,Total for all sectors,2014,1062,5239,53890,288767
3436,0500000US25007,25007,"Dukes County, Massachusetts",0,Total for all sectors,2015,1071,5377,56569,315312
3456,0500000US25007,25007,"Dukes County, Massachusetts",0,Total for all sectors,2010,1007,4827,44701,242551
3476,0500000US25009,25009,"Essex County, Massachusetts",0,Total for all sectors,2011,17874,267837,3003815,12803698
3497,0500000US25009,25009,"Essex County, Massachusetts",0,Total for all sectors,2012,18115,274147,3174524,13039471
3518,0500000US25009,25009,"Essex County, Massachusetts",0,Total for all sectors,2013,18277,275283,3164692,13109161
3539,0500000US25009,25009,"Essex County, Massachusetts",0,Total for all sectors,2014,18332,281447,3407865,13984085
3560,0500000US25009,25009,"Essex County, Massachusetts",0,Total for all sectors,2015,18453,282412,3373677,14334286
3581,0500000US25009,25009,"Essex County, Massachusetts",0,Total for all sectors,2010,17877,263022,2789622,12276442
3602,0500000US25011,25011,"Franklin County, Massachusetts",0,Total for all sectors,2011,1571,19931,170041,706656
3623,0500000US25011,25011,"Franklin County, Massachusetts",0,Total for all sectors,2012,1603,19425,170873,704523
3643,0500000US25011,25011,"Franklin County, Massachusetts",0,Total for all sectors,2013,1584,19917,182588,764821
3663,0500000US25011,25011,"Franklin County, Massachusetts",0,Total for all sectors,2014,1579,19620,185929,765384
3684,0500000US25011,25011,"Franklin County, Massachusetts",0,Total for all sectors,2015,1582,20104,189920,812431
3705,0500000US25011,25011,"Franklin County, Massachusetts",0,Total for all sectors,2010,1590,19387,160618,693851
3726,0500000US25013,25013,"Hampden County, Massachusetts",0,Total for all sectors,2011,9652,163486,1583392,6568817
3747,0500000US25013,25013,"Hampden County, Massachusetts",0,Total for all sectors,2012,9683,164298,1673963,6848525
3768,0500000US25013,25013,"Hampden County, Massachusetts",0,Total for all sectors,2013,9661,167480,1758012,7061406
3789,0500000US25013,25013,"Hampden County, Massachusetts",0,Total for all sectors,2014,9669,166806,1819397,7292607
3810,0500000US25013,25013,"Hampden County, Massachusetts",0,Total for all sectors,2015,9600,167383,1790345,7434306
3831,0500000US25013,25013,"Hampden County, Massachusetts",0,Total for all sectors,2010,9709,163812,1522527,6441395
3852,0500000US25015,25015,"Hampshire County, Massachusetts",0,Total for all sectors,2011,3459,55451,401744,1707993
3873,0500000US25015,25015,"Hampshire County, Massachusetts",0,Total for all sectors,2012,3510,56979,436817,1789208
3894,0500000US25015,25015,"Hampshire County, Massachusetts",0,Total for all sectors,2013,3562,57927,442526,1837037
3915,0500000US25015,25015,"Hampshire County, Massachusetts",0,Total for all sectors,2014,3548,58693,454650,1915668
3936,0500000US25015,25015,"Hampshire County, Massachusetts",0,Total for all sectors,2015,3576,60573,493104,2044461
3957,0500000US25015,25015,"Hampshire County, Massachusetts",0,Total for all sectors,2010,3541,55180,391439,1685698
3978,0500000US25017,25017,"Middlesex County, Massachusetts",0,Total for all sectors,2011,41961,802736,13202084,53710684
3999,0500000US25017,25017,"Middlesex County, Massachusetts",0,Total for all sectors,2012,42454,821275,14220076,56173092
4020,0500000US25017,25017,"Middlesex County, Massachusetts",0,Total for all sectors,2013,42830,844090,14708562,58326731
4041,0500000US25017,25017,"Middlesex County, Massachusetts",0,Total for all sectors,2014,43131,848024,15661991,60649079
4062,0500000US25017,25017,"Middlesex County, Massachusetts",0,Total for all sectors,2015,43548,869949,17127468,65697928
4083,0500000US25017,25017,"Middlesex County, Massachusetts",0,Total for all sectors,2010,42001,791554,12059953,50873266
4104,0500000US25019,25019,"Nantucket County, Massachusetts",0,Total for all sectors,2011,883,3560,39132,229484
4125,0500000US25019,25019,"Nantucket County, Massachusetts",0,Total for all sectors,2012,921,3948,41742,242733
