County,Year,Hachman
23027,2011,0.914503232
23029,2011,0.934881006
23031,2011,0.923732629
25001,2011,0.919998598
25003,2011,0.916053337
25005,2011,0.902551337
25007,2011,0.940777772
25009,2011,0.890801171
25011,2011,0.905723666
25013,2011,0.896260677
25015,2011,0.900721539
25017,2011,0.896466029
25019,2011,0.963970927
25021,2011,0.889277701
25023,2011,0.897121954
25025,2011,0.909763471
25027,2011,0.890645405
33001,2011,0.917272098
33003,2011,0.933178571
33005,2011,0.908268634
33007,2011,0.926293609
33009,2011,0.903549554
33011,2011,0.88460651
33013,2011,0.898510942
33015,2011,0.890929186
33017,2011,0.90195787
33019,2011,0.91802305
44001,2011,0.900297392
44003,2011,0.892023621
44005,2011,0.908771795
44007,2011,0.888469322
44009,2011,0.905709758
50001,2011,0.914163587
50003,2011,0.915945146
50005,2011,0.912103185
50007,2011,0.894049391
50009,2011,0.957059786
50011,2011,0.918651485
50013,2011,0.935457086
50015,2011,0.912674923
50017,2011,0.908815076
50019,2011,0.922625746
50021,2011,0.910908626
50023,2011,0.905496062
50025,2011,0.907123279
50027,2011,0.908638208
9001,2012,0.886702298
9003,2012,0.887506612
9005,2012,0.905571152
9007,2012,0.896802088
9009,2012,0.894163107
9011,2012,0.913948041
9013,2012,0.912321806
9015,2012,0.915733999
23001,2012,0.907692583
23003,2012,0.941335591
23005,2012,0.886774463
23007,2012,0.92643277
23009,2012,0.924303613
23011,2012,0.90777273
23013,2012,0.93690734
23015,2012,0.935883856
23017,2012,0.920869394
23019,2012,0.903431426
23021,2012,0.935167614
23023,2012,0.91913981
23025,2012,0.922752483
23027,2012,0.914562146
23029,2012,0.938206902
23031,2012,0.92040499
25001,2012,0.920163223
25003,2012,0.915364583
25005,2012,0.902110092
25007,2012,0.94296611
25009,2012,0.890766304
25011,2012,0.90126261
25013,2012,0.897340716
25015,2012,0.901401326
25017,2012,0.896477197
25019,2012,0.964144082
25021,2012,0.889767173
25023,2012,0.898006511
25025,2012,0.910258606
25027,2012,0.890542407
33001,2012,0.916764224
33003,2012,0.932248058
33005,2012,0.911065895
33007,2012,0.925255475
33009,2012,0.902810519
33011,2012,0.886040726
33013,2012,0.898123044
33015,2012,0.8917732
33017,2012,0.89791047
33019,2012,0.91525884
44001,2012,0.902388559
44003,2012,0.892585265
44005,2012,0.908742926
44007,2012,0.889002766
44009,2012,0.904843237
50001,2012,0.910444715
50003,2012,0.912542274
50005,2012,0.912544103
50007,2012,0.894490511
50009,2012,0.962041743
50011,2012,0.915168765
50013,2012,0.927020097
50015,2012,0.912531992
50017,2012,0.908509858
50019,2012,0.927225381
50021,2012,0.912798298
50023,2012,0.9050963
50025,2012,0.906253382
50027,2012,0.909139998
9001,2013,0.88608558
9003,2013,0.887228419
9005,2013,0.904489364
9007,2013,0.898417551
9009,2013,0.894722482
9011,2013,0.913095592
9013,2013,0.91343788
9015,2013,0.915564159
23001,2013,0.907301674
23003,2013,0.943730503
23005,2013,0.886047705
23007,2013,0.927772519
23009,2013,0.924674278
23011,2013,0.907627021
23013,2013,0.94407823
23015,2013,0.935734648
23017,2013,0.921483121
23019,2013,0.89908071
23021,2013,0.932613707
23023,2013,0.923889971
23025,2013,0.919590777
23027,2013,0.911516024
23029,2013,0.928614351
23031,2013,0.921373585
25001,2013,0.919130273
25003,2013,0.915297913
25005,2013,0.902221464
25007,2013,0.941264697
25009,2013,0.890898737
25011,2013,0.902841146
25013,2013,0.897930497
25015,2013,0.898118317
25017,2013,0.895003604
25019,2013,0.965504636
25021,2013,0.889461746
25023,2013,0.897009427
25025,2013,0.90865525
25027,2013,0.89081864
33001,2013,0.915122133
33003,2013,0.932560124
33005,2013,0.908510696
33007,2013,0.924128946
33009,2013,0.903797686
33011,2013,0.887825049
33013,2013,0.898310565
33015,2013,0.890215575
33017,2013,0.897514716
33019,2013,0.916049855
44001,2013,0.901485243
44003,2013,0.893984582
44005,2013,0.908748682
44007,2013,0.888213033
44009,2013,0.906588449
50001,2013,0.908757987
50003,2013,0.913888093
50005,2013,0.9075192
50007,2013,0.892938979
50009,2013,0.950500248
50011,2013,0.910155178
50013,2013,0.930456799
50015,2013,0.917120663
50017,2013,0.909188942
50019,2013,0.924225787
50021,2013,0.913908732
50023,2013,0.903053532
50025,2013,0.904029374
50027,2013,0.90912921
9001,2014,0.885175659
9003,2014,0.887366812
9005,2014,0.90297834
9007,2014,0.899162222
9009,2014,0.894065664
9011,2014,0.912818894
9013,2014,0.909863556
9015,2014,0.914973267
23001,2014,0.905613832
23003,2014,0.949011782
23005,2014,0.886546145
23007,2014,0.929468655
23009,2014,0.928054871
23011,2014,0.908440793
23013,2014,0.947564943
23015,2014,0.937489194
23017,2014,0.920983319
23019,2014,0.898268772
23021,2014,0.93263641
23023,2014,0.927737422
23025,2014,0.923172248
23027,2014,0.911053554
23029,2014,0.934737304
23031,2014,0.920767022
25001,2014,0.919035988
25003,2014,0.916094887
25005,2014,0.901911253
25007,2014,0.9425147
25009,2014,0.890553248
25011,2014,0.901517255
25013,2014,0.898313132
25015,2014,0.899419466
25017,2014,0.894480599
25019,2014,0.967958073
25021,2014,0.888846201
25023,2014,0.897342173
25025,2014,0.909282643
25027,2014,0.890539925
33001,2014,0.912962585
33003,2014,0.93211588
33005,2014,0.905985102
33007,2014,0.92743028
33009,2014,0.904599192
33011,2014,0.885818101
33013,2014,0.895716303
33015,2014,0.890997172
33017,2014,0.897327544
33019,2014,0.911600275
44001,2014,0.899209162
44003,2014,0.894790876
44005,2014,0.907195768
44007,2014,0.888157192
44009,2014,0.903953262
50001,2014,0.90870776
50003,2014,0.914396867
50005,2014,0.907136245
50007,2014,0.893155918
50009,2014,0.925730501
50011,2014,0.907574082
50013,2014,0.933525648
50015,2014,0.91666093
50017,2014,0.905243199
50019,2014,0.922238249
50021,2014,0.915484025
50023,2014,0.901982919
50025,2014,0.902544932
50027,2014,0.905542309
9001,2015,0.884928917
9003,2015,0.888293126
9005,2015,0.904096771
9007,2015,0.898202522
9009,2015,0.894253165
9011,2015,0.913911692
9013,2015,0.908862105
9015,2015,0.914936441
23001,2015,0.905736934
23003,2015,0.954394593
23005,2015,0.885579161
23007,2015,0.931385031
23009,2015,0.927483134
23011,2015,0.908708286
23013,2015,0.955493978
23015,2015,0.941191312
23017,2015,0.922422289
23019,2015,0.90007829
23021,2015,0.933274927
23023,2015,0.926772199
23025,2015,0.923145238
23027,2015,0.912509974
23029,2015,0.950963993
23031,2015,0.920461844
25001,2015,0.919714139
25003,2015,0.915717988
25005,2015,0.901023472
25007,2015,0.942061374
25009,2015,0.890516355
25011,2015,0.901145708
25013,2015,0.898581215
25015,2015,0.89957648
25017,2015,0.893778031
25019,2015,0.969895672
25021,2015,0.888893783
25023,2015,0.898026631
25025,2015,0.908274324
25027,2015,0.891306625
33001,2015,0.912266544
33003,2015,0.930688315
33005,2015,0.909408292
33007,2015,0.924605849
33009,2015,0.90529749
33011,2015,0.88610321
33013,2015,0.895826534
33015,2015,0.892254886
33017,2015,0.898017964
33019,2015,0.91400674
44001,2015,0.899229388
44003,2015,0.895367456
44005,2015,0.909645948
44007,2015,0.887707486
44009,2015,0.904104181
50001,2015,0.909093165
50003,2015,0.914093884
50005,2015,0.905769358
50007,2015,0.893282058
50009,2015,0.932305977
50011,2015,0.90825111
50013,2015,0.928614353
50015,2015,0.916118338
50017,2015,0.906071455
50019,2015,0.921963428
50021,2015,0.917224435
50023,2015,0.901861729
50025,2015,0.901530876
50027,2015,0.905049127
